id,label
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,1
14,1
15,1
16,1
17,0
18,0
19,1
20,1
21,0
22,1
23,0
24,0
25,1
26,0
27,0
28,1
29,0
30,0
31,0
32,1
33,0
34,1
35,1
36,1
37,1
38,1
39,0
40,1
41,0
42,0
43,0
44,0
45,1
46,0
47,1
48,0
49,0
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,1
59,0
60,1
61,1
62,0
63,1
64,1
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,1
81,1
82,1
83,0
84,1
85,0
86,0
87,0
88,0
89,1
90,1
91,1
92,1
93,1
94,0
95,0
96,1
97,0
98,0
99,1
100,1
101,1
102,0
103,1
104,1
105,0
106,0
107,1
108,1
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,1
117,1
118,0
119,0
120,1
121,1
122,1
123,1
124,1
125,1
126,0
127,0
128,1
129,1
130,0
131,0
132,0
133,1
134,1
135,1
136,1
137,0
138,0
139,1
140,1
141,1
142,0
143,0
144,1
145,1
146,0
147,0
148,1
149,1
150,1
151,0
152,1
153,1
154,1
155,0
156,1
157,1
158,0
159,0
160,0
161,1
162,1
163,1
164,0
165,1
166,1
167,0
168,1
169,1
170,1
171,1
172,0
173,0
174,1
175,0
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,0
191,1
192,1
193,1
194,1
195,0
196,0
197,0
198,1
199,0
200,0
201,0
202,1
203,0
204,0
205,1
206,1
207,0
208,1
209,1
210,1
211,0
212,0
213,1
214,0
215,0
216,0
217,0
218,1
219,0
220,0
221,1
222,0
223,0
224,1
225,0
226,0
227,0
228,1
229,0
230,1
231,0
232,0
233,1
234,1
235,0
236,0
237,1
238,0
239,1
240,0
241,0
242,0
243,1
244,0
245,0
246,1
247,0
248,1
249,1
250,0
251,0
252,1
253,0
254,1
255,1
256,1
257,0
258,0
259,1
260,1
261,1
262,0
263,1
264,1
265,0
266,1
267,1
268,1
269,0
270,0
271,0
272,1
273,0
274,1
275,1
276,0
277,0
278,1
279,1
280,0
